,TN_maize,NHx_maize
SEEDGWAS1439:MRG:4:250105334,NA,134.0700073
SEEDGWAS144:MRG:4:250056111,NA,863.25
SEEDGWAS1440:MRG:4:250105335,NA,134.0700073
SEEDGWAS1441:MRG:4:250070383,273,134.0700073
SEEDGWAS1442:MRG:4:250070384,721,88.51000214
SEEDGWAS1443:MRG:4:250070385,254,342.6799927
SEEDGWAS1457:MRG:4:250070397,224,485.8800049
SEEDGWAS1458:MRG:4:250070398,456,940.4699707
SEEDGWAS1460:MRG:4:250070400,399,1069.060059
SEEDGWAS1463:MRG:4:250070403,290,544.3800049
SEEDGWAS1464:MRG:4:250070404,276,544.3800049
SEEDGWAS1465:MRG:4:250070405,276,544.3800049
SEEDGWAS1466:MRG:4:250070406,298,544.3800049
SEEDGWAS1467:MRG:4:250070407,493,544.3800049
SEEDGWAS1468:MRG:4:250070408,238,544.3800049
SEEDGWAS1469:MRG:4:250070409,284,544.3800049
SEEDGWAS1470:MRG:4:250070410,266,485.8800049
SEEDGWAS1472:MRG:4:250070412,175,485.8800049
SEEDGWAS1473:MRG:4:250070413,156,391.6099854
SEEDGWAS1474:MRG:4:250070414,297,37.13000107
SEEDGWAS1476:MRG:4:250070415,297,37.13000107
SEEDGWAS1477:MRG:4:250070416,311,37.13000107
SEEDGWAS1478:MRG:4:250070417,211,37.13000107
SEEDGWAS1479:MRG:4:250070418,211,37.13000107
SEEDGWAS148:MRG:4:250056114,281,242.6100006
SEEDGWAS1481:MRG:4:250070419,187,363.2600098
SEEDGWAS1482:MRG:4:250070420,363,156.8399963
SEEDGWAS1483:MRG:4:250070421,363,156.8399963
SEEDGWAS1484:MRG:4:250070422,363,156.8399963
SEEDGWAS1485:MRG:4:250070423,198,156.8399963
SEEDGWAS1486:MRG:4:250070424,195,156.8399963
SEEDGWAS1487:MRG:4:250070425,184,156.8399963
SEEDGWAS1488:MRG:4:250070426,234,156.8399963
SEEDGWAS149:MRG:4:250056115,NA,250.5599976
SEEDGWAS1490:MRG:4:250070427,125,230.1499939
SEEDGWAS1492:MRG:4:250070428,291,230.1499939
SEEDGWAS1493:MRG:4:250070429,160,156.8399963
SEEDGWAS1494:MRG:4:250070430,251,156.8399963
SEEDGWAS1495:MRG:4:250070431,176,230.1499939
SEEDGWAS1496:MRG:4:250070432,271,230.1499939
SEEDGWAS1497:MRG:4:250070433,195,863.25
SEEDGWAS1498:MRG:4:250070434,195,863.25
SEEDGWAS15:MRG:4:250054457,370,599.789978
SEEDGWAS150:MRG:4:250056116,111,270.1099854
SEEDGWAS1500:MRG:4:250070435,NA,485.8800049
SEEDGWAS1501:MRG:4:250070436,NA,485.8800049
SEEDGWAS1503:MRG:4:250070437,204,391.6099854
SEEDGWAS1506:MRG:4:250070438,195,539.8900146
SEEDGWAS1507:MRG:4:250070439,NA,539.8900146
SEEDGWAS1508:MRG:4:250070440,274,485.8800049
SEEDGWAS1512:MRG:4:250070441,132,90.51000214
SEEDGWAS1513:MRG:4:250070442,192,263.3599854
SEEDGWAS1516:MRG:4:250070444,248,263.3599854
SEEDGWAS1517:MRG:4:250070445,179,263.3599854
SEEDGWAS1518:MRG:4:250070446,283,341.4599915
SEEDGWAS1519:MRG:4:250070447,179,263.3599854
SEEDGWAS152:MRG:4:250056118,428,66.23000336
SEEDGWAS153:MRG:4:250056119,314,341.4599915
SEEDGWAS1543:MRG:4:250070466,501,263.3599854
SEEDGWAS1545:MRG:4:250070467,262,341.4599915
SEEDGWAS155:MRG:4:250056120,369,341.4599915
SEEDGWAS1550:MRG:4:250070470,228,833.789978
SEEDGWAS1551:MRG:4:250070471,244,263.3599854
SEEDGWAS1552:MRG:4:250070472,428,344.1400146
SEEDGWAS1553:MRG:4:250070473,170,190.4700012
SEEDGWAS1554:MRG:4:250070474,305,264.7799988
SEEDGWAS1557:MRG:4:250070477,688,195.7400055
SEEDGWAS156:MRG:4:250056121,NA,599.789978
SEEDGWAS1560:MRG:4:250070478,272,544.3800049
